import time: self [us] | cumulative | imported package
import time:      1178 |       1178 |               importlib.resources.abc
import time:      1366 |       1366 |               importlib.resources._adapters
import time:      3453 |       5996 |             importlib.resources._common
import time:       824 |        824 |             importlib.resources._legacy
import time:      2872 |       9690 |           importlib.resources
import time:      5161 |       5161 |               _socket
import time:      1938 |       1938 |                 select
import time:      2723 |       4661 |               selectors
import time:      5800 |      15622 |             socket
import time:     17401 |      17401 |             PyOpenColorIO.PyOpenColorIO
import time:     28888 |      61910 |           PyOpenColorIO
import time:      5262 |       5262 |           img_player.color.ocio_manager
import time:       711 |        711 |               importlib.resources._itertools
import time:      2312 |       3022 |             importlib.resources.readers
import time:      1053 |       4075 |           importlib.readers
import time:     31941 |     118647 |         img_player.color.gpu_processor
import time:     23834 |     705459 |       img_player.render.gl_viewport
import time:     60249 |     794462 |     img_player.annotate.overlay
import time:        67 |         67 |             _json
import time:     21799 |      21865 |           json.scanner
import time:      1984 |      23848 |         json.decoder
import time:      1588 |       1588 |         json.encoder
import time:      5672 |      31108 |       json
import time:     10672 |      41779 |     img_player.annotate.persistence
import time:      7215 |       7215 |         img_player.ui
import time:      2305 |       2305 |         PySide6.QtSvg
import time:      7583 |       7583 |         img_player.ui.theme
import time:     33441 |      50543 |       img_player.ui.icons
import time:     33189 |      83731 |     img_player.annotate.toolbar
import time:     47041 |     967013 |   img_player.annotate
import time:      1363 |       1363 |         termios
import time:      2328 |       3691 |       getpass
import time:      3104 |       3104 |         _uuid
import time:      3892 |       6996 |       uuid
import time:      6995 |      17681 |     img_player.comment.comment
import time:      6786 |       6786 |       img_player.comment.store
import time:      8011 |      14796 |     img_player.comment.persistence
import time:     14587 |      47064 |   img_player.comment
import time:      3834 |       3834 |     img_player.cache
import time:        50 |         50 |           _heapq
import time:      1707 |       1757 |         heapq
import time:      1598 |       1598 |         _queue
import time:      2692 |       6046 |       queue
import time:      4737 |      10783 |     img_player.cache.worker_pool
import time:      5074 |       5074 |       img_player.io
import time:     62826 |      62826 |         OpenImageIO.OpenImageIO
import time:      4740 |      67566 |       OpenImageIO
import time:      5202 |      77841 |     img_player.io.reader
import time:      4584 |       4584 |       img_player.sequence
import time:      9755 |      14338 |     img_player.sequence.models
import time:     44071 |     150865 |   img_player.cache.frame_cache
import time:      4328 |       4328 |         _hashlib
import time:       113 |        113 |         _blake2
import time:      2946 |       7386 |       hashlib
import time:      6792 |       6792 |       img_player.perf.hardware
import time:     29260 |      43438 |     img_player.perf.calibration
import time:      3266 |       3266 |     img_player.perf.runtime_monitor
import time:      6545 |       6545 |     img_player.perf.runtime_state
import time:     45476 |      98724 |   img_player.perf
import time:      4738 |       4738 |     img_player.player
import time:        73 |         73 |     gc
import time:      6141 |       6141 |     img_player.player.state
import time:     13943 |      24894 |   img_player.player.controller
import time:      8098 |       8098 |   img_player.preferences
import time:      5409 |       5409 |     img_player.io.formats
import time:     16189 |      21598 |   img_player.sequence.scanner
import time:      8049 |       8049 |     img_player.ui.color_panel
import time:      4557 |       4557 |     img_player.ui.comment_panel
import time:      4323 |       4323 |     img_player.ui.timeline
import time:      5091 |       5091 |       img_player.sequence.channels
import time:      5077 |       5077 |       img_player.ui.frame_display
import time:     16289 |      26456 |     img_player.ui.transport
import time:      7452 |       7452 |       img_player.ui.brackets_overlay
import time:     11171 |      18623 |     img_player.ui.viewer_widget
import time:     76450 |     138456 |   img_player.ui.main_window
import time:     97654 |    1799222 | img_player.app
